layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,internal_readout_share,memory_readout_share,current_readout_share,internal_topk_concentration,internal_peakiness,boundary_ratio,boundary_suppression,num_observations
19,3,0.10518527665757993,0.10534300378006431,0.022203714054259912,0.6563080184092698,0.7798024574500709,0.2201975395944097,0.21434160573887467,0.20278520435094832,0.1824790262921091,0.8175209737078909,80
20,0,0.12375980926591448,0.11758029190458084,0.03354976540675618,0.678762580969593,0.8102891685972216,0.18971082421389804,0.23348959280996012,0.2419121630489826,0.18255465953619893,0.8174453404638011,80
20,1,0.14845647037211104,0.14613525861336857,0.04537838240899398,0.7432995046216803,0.935762276130041,0.06423773271126426,0.28552561914061947,0.2844156511127949,0.2170752589831239,0.782924741016876,80
20,2,0.12512527373999474,0.11440336490223828,0.030598457823504815,0.7109849940628072,0.8476235041783042,0.15237648487993113,0.22336861061199734,0.22029604241251946,0.1849916589244597,0.8150083410755403,80
20,3,0.10854980816886765,0.10382701977734614,0.025446285158158787,0.6663152594714871,0.7851968946351854,0.21480310512359893,0.20706557997568834,0.21096188798546792,0.18064480137136177,0.8193551986286381,80
21,0,0.11997490150192683,0.11985344198286679,0.02977345570678023,0.6820020216339671,0.8295966114055873,0.17040337568554859,0.24488183756613244,0.23554532900452613,0.19706469991024902,0.802935300089751,80
21,1,0.13976281430897405,0.13892249699881404,0.04002186782888992,0.70457174021821,0.8651658371024216,0.1348341605486494,0.2699685594017188,0.26562520638108256,0.21286568539466408,0.7871343146053359,80
21,2,0.11235412155310551,0.11022851110308829,0.03249929019450198,0.7065327442551248,0.8900219729811487,0.1099780301333106,0.23766373861249906,0.26523938924074175,0.23196031444530116,0.7680396855546988,80
21,3,0.1177862334900776,0.1110904244259081,0.02929021023758452,0.6807821140238973,0.8191436172634539,0.18085637794587456,0.2422518303351481,0.23364770635962487,0.18894557390038547,0.8110544260996144,80
22,0,0.13956726917242807,0.1391378911915419,0.04228604699082035,0.7263475394715511,0.9214125777482751,0.07858742520133559,0.2807047384395589,0.28660931512713433,0.21655511937874264,0.7834448806212574,80
22,1,0.12480765500806354,0.1304760455897257,0.03280467726958755,0.7041320220216376,0.8586689507909193,0.14133105866913265,0.24404168884596106,0.24788013547658921,0.19935000687450477,0.8006499931254952,80
22,2,0.1705089578065547,0.17165737755977928,0.04528674413158772,0.7034247224205364,0.8295364281370439,0.1704635704892814,0.3011379607151964,0.25387232974171636,0.17130241566961452,0.8286975843303855,80
22,3,0.14882648241272084,0.15317836849355307,0.04242910338248135,0.7230483088086666,0.8946016789526219,0.10539833226686983,0.2872646512178104,0.27711325138807297,0.20505626537607644,0.7949437346239236,80
23,0,0.17251320730710878,0.14894551329494887,0.04630746826245172,0.6483450876534431,0.7456694316415715,0.25433058142669585,0.3123636406387579,0.2413551039993763,0.15321811176755157,0.8467818882324485,80
23,1,0.12640655107672089,0.12809881074938784,0.03654897246524091,0.6964217778330895,0.896547181929155,0.10345281206320438,0.26844564609480887,0.2770058050751686,0.23494379158928944,0.7650562084107105,80
23,2,0.14563364513607163,0.14666585476503424,0.043016877985425576,0.7245761684507204,0.8974693808903348,0.10253062014591505,0.28583629519663745,0.2827862538397312,0.2058955756186533,0.7941044243813467,80
23,3,0.18161174996081034,0.17563881016383381,0.06013770585435426,0.7009526457583484,0.8779712373912127,0.12202876913132751,0.3383559736882835,0.3051670007407665,0.22192630049819423,0.7780736995018057,80
24,0,0.11697716495919482,0.10970976263225207,0.034722911488597616,0.7000044999859536,0.8503520414610997,0.14964795552138058,0.20878804165600845,0.24305154830217363,0.18906505743610486,0.8109349425638952,80
