layer,kv_head,q_heads,score_sum,score_mean_q,score_max_q,u_int_mean,u_int_median,cov_int_mean,cov_rand_int_mean,cov_oracle_int_mean,boundary_ratio_mean,future_mass_internal_mean,selector_mass_internal_mean,num_observations,sparse_rank,u_rank,sparse_quantile
17,1,7-13,1396.717370326543,199.53105290379185,815.4653082875848,0.6590898145371948,0.6214721032475742,0.4723319649629105,0.0217537601789295,0.6658863617041957,0.1584448386125642,0.412536529591307,0.5044782104901969,80,9,97,Q5_high
17,2,14-20,1221.812726106863,174.54467515812328,609.2458505463362,0.5938335491684568,0.5664617832829362,0.4159577088054079,0.0222188852049478,0.6503453388431948,0.1466263983357336,0.353491437761113,0.4487035700120032,80,12,106,Q5_high
17,3,21-27,379.2862739016366,54.18375341451952,377.908217815868,0.7698404311223942,0.7895647869292283,0.4933809707461141,0.0217074272092265,0.6174215848540353,0.1434322936720257,0.4553752192994579,0.5486389133147895,80,33,59,Q4
18,0,0-6,0.0092592592592592,0.0013227513227513,0.0092592592592592,0.7921758964520814,0.8397370636761127,0.568054949002577,0.0218286972953939,0.6791334625934338,0.1839689745297203,0.4481736066460143,0.5039008753432427,80,94,52,Q1_low
18,1,7-13,33.255569275132764,4.750795610733252,33.10342365467135,0.7553351110620616,0.7666434529470703,0.541159331238301,0.0219124053959348,0.6777683626958766,0.1982811669552929,0.4575616364716552,0.5149800952756778,80,53,64,Q3
18,2,14-20,164.77157342550697,23.53879620364385,131.734680711009,0.7392703793230239,0.7326234364852211,0.4756282418144232,0.0217733781307985,0.6077967966324538,0.1686604700659363,0.490405133436434,0.555237942468375,80,46,71,Q3
18,3,21-27,0.0666666666666666,0.0095238095238095,0.0666666666666666,0.7621899601780064,0.795548851738404,0.5130584333117867,0.021448428860573,0.6268385972238423,0.1958613967924461,0.47532953270711,0.5382322390098124,80,92,61,Q1_low
19,0,0-6,487.01355392590096,69.57336484655728,479.3782359930999,0.8032437463360255,0.8123146263425565,0.4629280749169656,0.0219834164360845,0.5477331938144111,0.1431697046507777,0.5093214603606612,0.5851049445569515,80,30,48,Q4
19,1,7-13,0.0,0.0,0.0,0.6393377143539657,0.5621187091224775,0.3417253027692442,0.0219624915581572,0.4842683509650392,0.1461759131329625,0.5984154067467898,0.6723078959446867,80,96,99,Q1_low
19,2,14-20,2165.8311096025905,309.4044442289415,800.6051276919225,0.512229982035451,0.4608494410431281,0.2549069400012888,0.021824745933207,0.4267205604001201,0.088999223898085,0.5622553722001612,0.6825183097273111,80,4,111,Q5_high
19,3,21-27,598.7185404833679,85.53122006905255,379.894168741558,0.6766895986652901,0.6790461107562106,0.299405171777822,0.0217129937110359,0.4087219798431925,0.1010474027283054,0.5182133501861245,0.578670106921345,80,27,92,Q4
20,0,0-6,1.595847084514732,0.227978154930676,1.533347084514732,0.6678077383011142,0.630470404578263,0.3450875354482181,0.0217432124380642,0.4663271041703517,0.1021801859694051,0.5380060442606919,0.6324369936366565,80,78,95,Q2
20,1,7-13,705.4160512299712,100.7737216042816,404.0835590174688,0.6245206235047223,0.6104126310744582,0.3578404101602577,0.0218749811108416,0.5118200686006804,0.1192593820415138,0.5107500293292105,0.6018925392068922,80,22,103,Q5_high
20,2,14-20,256.6139823472114,36.65914033531591,222.65873984866735,0.6972441093913304,0.7364164344605386,0.3431913923011832,0.0217113807553358,0.448385612681757,0.1003971431521158,0.5895355437416583,0.6860884048976004,80,43,83,Q4
20,3,21-27,295.2785652795775,42.18265218279679,247.9413855362769,0.7095494553251718,0.7172213035030703,0.3244242072356658,0.0219817452270478,0.4233764523878932,0.1042362633492728,0.5712814894504845,0.6566872916184365,80,40,77,Q4
21,0,0-6,400.5545016910516,57.22207167015023,371.7032879854721,0.6680051126254629,0.6469672669945663,0.3334531604031195,0.022067976165485,0.4589268875730785,0.1048286505567346,0.4423808371648192,0.4939313629642129,80,31,94,Q4
21,1,7-13,592.1320066580108,84.59028666543011,535.9581273118918,0.7019637261993561,0.6927231491168075,0.3769197077266208,0.0220819322804964,0.4927495610953243,0.128458840712568,0.5004590337630361,0.60228600082919,80,28,80,Q4
21,2,14-20,286.0554283302276,40.86506119003251,284.71217331323294,0.5909249966683288,0.5626041743004757,0.3211617330401505,0.0218137688340842,0.481998927341076,0.1065819048344975,0.5149521716171875,0.6245135108940303,80,42,108,Q4
21,3,21-27,656.533569231215,93.79050989017357,517.0883839685209,0.6638287976009198,0.6508189346681891,0.3201060697947243,0.02150065861658,0.4393700042419494,0.1010705984420207,0.426086878683418,0.4969370158389211,80,23,96,Q5_high
22,0,0-6,3726.750347339797,532.3929067628281,925.5400575866356,0.4846629090998737,0.4279169758251522,0.2922035362014367,0.0220877735275584,0.5305980979069769,0.0944839141915479,0.5429972148500383,0.6694283988326788,80,1,112,Q5_high
22,1,7-13,1152.2399587203072,164.6057083886153,836.6987629080254,0.6279405952135,0.5948613449084261,0.3154654875680767,0.0220278737629881,0.4541441896533736,0.097985377877144,0.4881036901846528,0.5733381366357208,80,15,100,Q5_high
22,2,14-20,132.7273293646381,18.96104705209116,101.3520951569076,0.842686486195347,0.8384544029547547,0.4487545405014393,0.0218653996893555,0.5129006832893409,0.1066037739813537,0.4444109483622014,0.4987233596853911,80,49,35,Q3
