class,bin,x,mean_density,local_density,global_density
current,91,0.4575,2.65409946155824e-06,2.9282755201768246e-06,2.3799234029396546e-06
current,92,0.4625,5.0572304652567775e-06,5.422229577703405e-06,4.69223135281015e-06
current,93,0.4675,2.967458152772758e-06,3.2361728415991535e-06,2.698743463946363e-06
current,94,0.47250000000000003,4.895273359867641e-06,5.265503002366639e-06,4.525043717368643e-06
current,95,0.47750000000000004,3.5895624551597383e-06,3.906474890893694e-06,3.2726500194257824e-06
current,96,0.4825,5.385464925912951e-06,5.773679626449316e-06,4.9972502253765855e-06
current,97,0.4875,3.3573072876343793e-06,3.620800162645372e-06,3.093814412623387e-06
current,98,0.4925,7.086618411419779e-06,7.531499289899483e-06,6.641737532940075e-06
current,99,0.4975,6.73288957737488e-06,7.3044660973073995e-06,6.161313057442361e-06
current,100,0.5025,1.1460553553162115e-05,1.1934131119265398e-05,1.0986975987058833e-05
current,101,0.5075,6.595448399421062e-06,7.109686500988184e-06,6.0812102978539395e-06
current,102,0.5125,2.293488988211071e-05,2.4417785326689922e-05,2.1451994437531492e-05
current,103,0.5175,7.559454432608122e-06,8.400261277062795e-06,6.71864758815345e-06
current,104,0.5225,9.216921875441267e-06,9.920134416845101e-06,8.513709334037432e-06
current,105,0.5275,3.647324752315788e-06,4.120608900626842e-06,3.1740406040047344e-06
current,106,0.5325,7.858869324379995e-06,8.475163150257225e-06,7.2425754985027655e-06
current,107,0.5375,3.6496237138910097e-06,3.966852571468959e-06,3.3323948563130604e-06
