layer,head,score_sum,score_mean,nonzero,max
10,8,0.3698777121571239,0.0003698777121571239,13,0.07142857142857142
10,9,2.5761539000011258,0.0025761539000011256,73,0.1
10,10,0.0,0.0,0,0.0
10,11,0.0,0.0,0,0.0
10,12,0.0,0.0,0,0.0
10,13,0.07393483709273183,7.393483709273183e-05,2,0.047619047619047616
10,14,0.0,0.0,0,0.0
10,15,0.0,0.0,0,0.0
10,16,0.0,0.0,0,0.0
10,17,0.0,0.0,0,0.0
10,18,0.0,0.0,0,0.0
10,19,0.9356576539884074,0.0009356576539884074,25,0.1
10,20,0.09904761904761905,9.904761904761905e-05,3,0.05
10,21,0.0,0.0,0,0.0
10,22,0.0,0.0,0,0.0
10,23,0.0,0.0,0,0.0
10,24,0.0,0.0,0,0.0
10,25,0.0,0.0,0,0.0
10,26,0.0,0.0,0,0.0
10,27,0.0,0.0,0,0.0
11,0,9.827735759201055,0.009827735759201055,211,0.2222222222222222
11,1,0.0,0.0,0,0.0
11,2,0.0,0.0,0,0.0
11,3,0.0,0.0,0,0.0
11,4,0.0,0.0,0,0.0
11,5,0.0,0.0,0,0.0
11,6,0.0,0.0,0,0.0
11,7,3.2924745774661632,0.003292474577466163,89,0.14285714285714285
11,8,22.374201034878624,0.022374201034878624,306,0.45833333333333337
11,9,0.004878048780487805,4.878048780487805e-06,1,0.004878048780487805
11,10,0.0,0.0,0,0.0
11,11,0.0,0.0,0,0.0
11,12,0.0644927536231884,6.449275362318841e-05,2,0.05
11,13,0.1594341136306703,0.00015943411363067032,6,0.047619047619047616
11,14,0.0,0.0,0,0.0
11,15,0.0,0.0,0,0.0
11,16,0.0,0.0,0,0.0
11,17,0.0,0.0,0,0.0
11,18,0.0,0.0,0,0.0
11,19,0.0,0.0,0,0.0
11,20,0.009259259259259259,9.259259259259259e-06,1,0.009259259259259259
11,21,1.56991982857258,0.00156991982857258,37,0.16666666666666666
11,22,0.0,0.0,0,0.0
11,23,2.1285057618812124,0.0021285057618812124,57,0.14285714285714285
11,24,300.1403816415763,0.3001403816415763,789,3.0405964405964405
11,25,16.514564996225076,0.016514564996225077,309,0.4083333333333333
11,26,55.202100445563325,0.055202100445563326,515,1.6697210197210204
11,27,0.4914530536513295,0.0004914530536513296,15,0.1
12,0,0.0,0.0,0,0.0
12,1,0.1361530969030969,0.0001361530969030969,5,0.038461538461538464
12,2,0.0,0.0,0,0.0
12,3,0.0,0.0,0,0.0
12,4,0.013333333333333334,1.3333333333333335e-05,1,0.013333333333333334
12,5,0.053613053613053616,5.3613053613053616e-05,2,0.038461538461538464
12,6,0.0,0.0,0,0.0
12,7,6.789089081407271,0.006789089081407271,128,0.6363636363636364
12,8,0.046296296296296294,4.6296296296296294e-05,2,0.027777777777777776
12,9,0.0,0.0,0,0.0
12,10,0.0,0.0,0,0.0
12,11,0.0,0.0,0,0.0
12,12,0.0,0.0,0,0.0
12,13,0.10714285714285715,0.00010714285714285715,3,0.05
12,14,2.4065075328275154,0.002406507532827515,67,0.10902777777777778
12,15,0.2868303571428571,0.0002868303571428571,9,0.08333333333333333
12,16,2.6920146926445305,0.0026920146926445307,50,0.2
12,17,0.013333333333333334,1.3333333333333335e-05,1,0.013333333333333334
12,18,0.0,0.0,0,0.0
12,19,0.0196078431372549,1.9607843137254903e-05,1,0.0196078431372549
12,20,100.77726088130728,0.10077726088130728,554,1.6857142857142862
12,21,0.07222222222222222,7.222222222222222e-05,2,0.05555555555555555
12,22,0.030303030303030304,3.0303030303030302e-05,1,0.030303030303030304
12,23,0.23085528091979707,0.00023085528091979708,9,0.05555555555555555
12,24,297.50370918478507,0.2975037091847851,806,2.881998556998557
12,25,0.0,0.0,0,0.0
12,26,0.0,0.0,0,0.0
12,27,0.1806038647342995,0.0001806038647342995,5,0.08333333333333333
13,0,0.718724198875154,0.000718724198875154,26,0.0625
13,1,0.45214646464646463,0.00045214646464646465,10,0.07142857142857142
13,2,0.0,0.0,0,0.0
13,3,0.0196078431372549,1.9607843137254903e-05,1,0.0196078431372549
13,4,2.9106914822689616,0.0029106914822689617,77,0.125
13,5,0.7386904428796006,0.0007386904428796006,26,0.08333333333333333
13,6,0.0,0.0,0,0.0
13,7,0.0,0.0,0,0.0
13,8,0.0,0.0,0,0.0
13,9,0.0,0.0,0,0.0
13,10,0.0,0.0,0,0.0
13,11,0.07532212885154062,7.532212885154062e-05,3,0.03571428571428571
13,12,0.06160714285714286,6.160714285714286e-05,3,0.03125
13,13,0.0,0.0,0,0.0
13,14,0.10340067340067341,0.0001034006734006734,5,0.041666666666666664
13,15,0.21329365079365079,0.00021329365079365077,6,0.07142857142857142
13,16,2.3564656456309976,0.0023564656456309977,62,0.16666666666666666
13,17,0.011363636363636364,1.1363636363636365e-05,1,0.011363636363636364
13,18,0.013333333333333334,1.3333333333333335e-05,1,0.013333333333333334
13,19,0.1388888888888889,0.0001388888888888889,4,0.05555555555555555
13,20,0.08776353276353277,8.776353276353277e-05,4,0.037037037037037035
13,21,0.0,0.0,0,0.0
13,22,0.9991533195482586,0.0009991533195482585,30,0.1
13,23,0.4292919553213671,0.0004292919553213671,13,0.1
13,24,0.12409789969627698,0.00012409789969627697,6,0.037037037037037035
13,25,3.878529000474427,0.0038785290004744273,103,0.16666666666666666
13,26,0.12441077441077442,0.00012441077441077442,3,0.1
13,27,0.27556980056980057,0.0002755698005698006,5,0.1
14,0,861.5073665971261,0.861507366597126,847,4.934671115921115
14,1,11.405964287696367,0.011405964287696368,204,0.3214285714285714
14,2,485.4466569146303,0.4854466569146303,811,4.384935666185667
14,3,602.8932974835805,0.6028932974835804,816,4.447928691678693
14,4,569.7581348571024,0.5697581348571024,810,4.296336470043368
14,5,0.0,0.0,0,0.0
14,6,453.9879472682056,0.45398794726820557,823,2.891605090311987
14,7,0.5557800224466892,0.0005557800224466892,4,0.45454545454545464
14,8,530.2021291087256,0.5302021291087256,839,4.156274050024052
14,9,0.0,0.0,0,0.0
14,10,2.273866989441501,0.002273866989441501,36,0.20833333333333331
14,11,47.182852621600084,0.04718285262160008,537,0.7652777777777777
14,12,68.28227319916819,0.06828227319916819,525,1.7942460317460316
14,13,2.307472128990143,0.0023074721289901433,61,0.08333333333333333
14,14,1.0065214384459908,0.001006521438445991,18,0.16666666666666666
14,15,7.961844506573388,0.007961844506573388,165,0.3608585858585859
