layer,head,eager_current_share_global,eager_current_share_local,manual_current_share_global,manual_current_share_local,manual_s_current_share,eager_s_current_share
4,6,0.31905183643102647,0.2837878480553627,0.5727400660514832,0.5198797017335892,0.5463098838925362,0.3014198422431946
4,7,0.7446202635765076,0.7288887739181519,0.7172304630279541,0.7257793068885803,0.7215048849582673,0.7367545187473297
4,8,0.07780588069290388,0.03508423429448158,0.6543344289064408,0.6804890155792236,0.6674117222428322,0.05644505749369273
4,9,0.23508575484156607,0.24018614646047354,0.6149741888046265,0.6613404393196106,0.6381573140621186,0.2376359506510198
4,10,0.032973434310406446,0.02972319661639631,0.7478359580039978,0.7030891060829163,0.7254625320434571,0.031348315463401374
4,11,0.5798833355307579,0.57106504291296,0.7988143146038056,0.8189717590808868,0.8088930368423461,0.5754741892218589
4,12,0.28281507738865913,0.22037745881825685,0.7172808170318603,0.7667471170425415,0.7420139670372009,0.251596268103458
4,13,0.21027221940457821,0.2214538011699915,0.6096742570400238,0.5976070865988732,0.6036406718194485,0.21586301028728486
4,14,0.5201257854700089,0.543020982015878,0.6661324918270111,0.6570127069950104,0.6615725994110107,0.5315733837429435
4,15,0.4814018838107586,0.49038215801119805,0.7480095267295838,0.7228761196136475,0.7354428231716157,0.48589202091097833
4,16,0.5687031015753746,0.587536270916462,0.7306264340877533,0.7264411985874176,0.7285338163375854,0.5781196862459184
4,17,0.44047518670558927,0.4263754144310951,0.4871321082115173,0.49123366475105285,0.48918288648128505,0.43342530056834216
4,18,0.41030583083629607,0.437563144788146,0.5481565434485673,0.5391006851568818,0.5436286143027246,0.42393448781222104
4,19,0.40670228861272334,0.4499819029122591,0.6236132487654686,0.605238938331604,0.6144260935485364,0.4283420957624912
4,20,0.45077358949929475,0.46120943981222806,0.6793259307742119,0.6754727393388749,0.6773993350565434,0.4559915146557614
4,21,0.49444943461567165,0.476745624281466,0.7072610259056091,0.6493975132703781,0.6783292695879937,0.4855975294485688
4,22,0.48284338861703874,0.48349558375775814,0.6974559962749481,0.6501718133687973,0.6738139048218728,0.4831694861873984
4,23,0.4645940613001585,0.4818194624967873,0.578336201608181,0.5855419389903546,0.5819390702992677,0.4732067618984729
4,24,0.5072566136717797,0.4692352771759033,0.7853161513805389,0.7487407088279724,0.7670284301042556,0.4882459454238415
4,25,0.49213348180055616,0.5041114552877843,0.5856117844581604,0.5998514845967293,0.5927316345274449,0.49812246854417025
4,26,0.6472818434238434,0.6535279393196106,0.7258381128311158,0.7212825179100036,0.7235603153705596,0.6504048913717271
4,27,0.4856384044513106,0.46935689691454174,0.631423044204712,0.6073166683316231,0.6193698562681675,0.47749765068292616
5,0,0.7128302574157714,0.7145694971084595,0.7681978583335877,0.7295360445976258,0.7488669514656068,0.7136998772621155
5,1,0.6007331375032663,0.5993113163858652,0.7740786373615265,0.7498619079589843,0.7619702726602554,0.6000222269445658
5,2,0.48580268025398254,0.4835561737418175,0.7379415035247803,0.7182867348194122,0.7281141191720962,0.4846794269979
5,3,0.4493498673662543,0.46126332115381957,0.507600961625576,0.5059992715716362,0.506800116598606,0.45530659426003695
5,4,0.6677597522735595,0.6720704019069672,0.7504147469997406,0.729099041223526,0.7397568941116333,0.6699150770902633
5,5,0.3515924632549286,0.31816512644290923,0.5189105331897735,0.4849053621292114,0.5019079476594925,0.3348787948489189
5,6,0.6260770499706269,0.6163450956344605,0.6325518846511841,0.6393934488296509,0.6359726667404175,0.6212110728025437
5,7,0.4613618180155754,0.49810774624347687,0.5781160742044449,0.524581453204155,0.5513487637043,0.47973478212952614
5,8,0.1637951262295246,0.09508903473615646,0.3225941240787506,0.3749119579792023,0.3487530410289764,0.12944208048284053
5,9,0.4200297549366951,0.4218051269650459,0.24580031484365464,0.253067371994257,0.2494338434189558,0.42091744095087047
5,10,0.3446344666182995,0.38723979741334913,0.8130899310112,0.8034791350364685,0.8082845330238342,0.36593713201582434
5,11,0.09966170862317085,0.09203358925879002,0.7359399914741516,0.7504906058311462,0.7432152986526489,0.09584764894098044
5,12,0.245351904630661,0.2382093958556652,0.7480099320411682,0.7633416414260864,0.7556757867336272,0.2417806502431631
5,13,0.4733408123254776,0.5147376015782357,0.6792215228080749,0.6715172350406646,0.6753693789243698,0.49403920695185666
5,14,0.4401981487870216,0.44813533425331115,0.6712909698486328,0.6774729490280151,0.674381959438324,0.4441667415201664
5,15,0.42520369589328766,0.3812021642923355,0.6950124859809875,0.6461265861988068,0.6705695360898971,0.4032029300928116
5,16,0.3654423996806145,0.3871840588748455,0.6015437126159668,0.5440455377101898,0.5727946251630783,0.37631322927773003
5,17,0.35064018070697783,0.3369970768690109,0.7060452461242676,0.6481592535972596,0.6771022498607635,0.3438186287879944
5,18,0.05785366557538509,0.040006596222519876,0.7649386882781982,0.7434760153293609,0.7542073518037795,0.048930130898952484
5,19,0.03487012041732669,0.025504829874262214,0.6963650584220886,0.6754791855812072,0.6859221220016479,0.03018747514579445
5,20,0.11939497515559197,0.20946877896785737,0.8340014100074769,0.7795158505439759,0.8067586302757264,0.16443187706172468
5,21,0.27020868211984633,0.23623190745711325,0.6725826501846314,0.6468186378479004,0.6597006440162658,0.2532202947884798
5,22,0.517829499952495,0.5463929021731019,0.6027065113186836,0.5676976807415486,0.5852020960301161,0.5321112010627984
5,23,0.4580745540559292,0.5035746455192566,0.6218848437070846,0.6149749338626862,0.6184298887848854,0.48082459978759284
5,24,0.5119996309280396,0.5264545321464539,0.7688755989074707,0.7650229096412658,0.7669492542743683,0.5192270815372467
5,25,0.51860728218453,0.47860799606423826,0.6437847927212715,0.6454091995954514,0.6445969961583615,0.4986076391243841
5,26,0.5906106993556023,0.5598685517907143,0.7551498472690582,0.7332824468612671,0.7442161470651627,0.5752396255731582
5,27,0.44980665054172275,0.467874838411808,0.5984497219324112,0.5294138610363006,0.5639317914843559,0.45884074447676537
6,0,0.5235546328127384,0.5128040054813028,0.6628702402114868,0.6532358139753341,0.6580530270934104,0.5181793191470205
6,1,0.4647383330389857,0.4952802744694054,0.49966169726103543,0.5109760237857699,0.5053188605234027,0.4800093037541956
6,2,0.518349798489362,0.5316593050491065,0.5618665628135204,0.5657613418996335,0.5638139523565769,0.5250045517692343
