class,bin,x,mean_density,local_density,global_density
current,41,0.20750000000000002,9.996291060987571e-06,1.0550180987466219e-05,9.442401134508924e-06
current,42,0.2125,1.2897662768422563e-05,1.2915687951315751e-05,1.2879637585529378e-05
current,43,0.2175,0.000540535272126302,0.0005813415787645522,0.0004997289654880519
current,44,0.2225,1.6842235103661242e-05,1.8245282442923734e-05,1.5439187764398755e-05
current,45,0.2275,1.6675479812158164e-05,1.742459946230268e-05,1.592636016201365e-05
current,46,0.2325,1.1132110760176199e-05,1.1704203614812428e-05,1.0560017905539971e-05
current,47,0.23750000000000002,9.011610857476763e-06,9.420508904581058e-06,8.602712810372466e-06
current,48,0.2425,7.832639990500535e-06,8.211704916142444e-06,7.453575064858625e-06
current,49,0.2475,8.174252078520438e-06,8.678122433530185e-06,7.67038172351069e-06
current,50,0.2525,7.490285467633987e-06,7.891461952889491e-06,7.0891089823784825e-06
current,51,0.2575,9.990871120173955e-06,1.0539653283435891e-05,9.44208895691202e-06
current,52,0.2625,6.1331098871496815e-06,6.574990344638359e-06,5.691229429661004e-06
current,53,0.2675,0.00012473763772000916,0.000139930692598468,0.0001095445828415503
current,54,0.2725,0.00010310624679280264,0.00010852624897027353,9.768624461533175e-05
current,55,0.2775,6.951715042782189e-06,7.388308408432938e-06,6.51512167713144e-06
current,56,0.28250000000000003,9.773491437134931e-06,1.0093643312869405e-05,9.453339561400457e-06
current,57,0.28750000000000003,8.22167845142148e-06,8.740659206819588e-06,7.702697696023373e-06
current,58,0.2925,5.114503758920007e-06,5.57320013040329e-06,4.655807387436724e-06
current,59,0.2975,9.508002086158148e-06,1.0059743168717254e-05,8.956261003599044e-06
current,60,0.3025,5.862093321585005e-06,6.289161005428197e-06,5.435025637741812e-06
current,61,0.3075,1.2943621784294074e-05,1.3401509544625295e-05,1.2485734023962855e-05
current,62,0.3125,7.0841952261194555e-06,7.587779724157631e-06,6.5806107280812805e-06
current,63,0.3175,2.1256521657635357e-05,2.2440376669278933e-05,2.0072666645991783e-05
current,64,0.3225,8.28136260020775e-06,8.9750286061591e-06,7.587696594256401e-06
current,65,0.3275,9.617728755190396e-06,1.0179042645519642e-05,9.056414864861151e-06
current,66,0.3325,4.548293307604357e-06,4.816676707264378e-06,4.279909907944336e-06
current,67,0.3375,6.906293017045578e-06,7.214632291435636e-06,6.59795374265552e-06
current,68,0.3425,3.261416061938583e-06,3.522137103462452e-06,3.0006950204147137e-06
current,69,0.34750000000000003,7.135415891462066e-06,7.150911666007256e-06,7.119920116916877e-06
current,70,0.35250000000000004,2.633054434526953e-06,2.865485774018216e-06,2.40062309503569e-06
current,71,0.3575,5.3207042777903435e-06,5.641666720007438e-06,4.999741835573249e-06
current,72,0.3625,3.1256708756724018e-06,3.4002915366603372e-06,2.851050214684466e-06
current,73,0.3675,4.180096407818329e-06,4.466065376519722e-06,3.894127439116937e-06
current,74,0.3725,4.652703205705438e-06,5.035547516556178e-06,4.269858894854697e-06
current,75,0.3775,4.3274502595131535e-06,4.575690562239595e-06,4.0792099567867115e-06
current,76,0.3825,7.110166347384567e-06,7.405851003941929e-06,6.814481690827205e-06
current,77,0.3875,6.2735813631246695e-06,6.573195123904385e-06,5.973967602344955e-06
current,78,0.3925,8.582543340768604e-06,9.019165302903841e-06,8.145921378633369e-06
current,79,0.3975,6.2631111002918836e-06,6.590766639794617e-06,5.93545556078915e-06
current,80,0.4025,9.461985340673342e-06,9.912035078986702e-06,9.011935602359982e-06
current,81,0.40750000000000003,8.310652822172771e-06,8.730309763935364e-06,7.89099588041018e-06
current,82,0.41250000000000003,1.7220516889954688e-05,1.7873249781622655e-05,1.6567783998286724e-05
current,83,0.41750000000000004,1.3160019059873244e-05,1.4051473006286149e-05,1.2268565113460338e-05
current,84,0.4225,9.871779290719658e-06,1.0350682127413957e-05,9.392876454025359e-06
current,85,0.4275,6.273682161270834e-06,6.657243024018758e-06,5.890121298522911e-06
current,86,0.4325,8.84871564558317e-06,9.152488319668979e-06,8.544942971497363e-06
current,87,0.4375,5.2637499978372236e-06,5.484855837944569e-06,5.042644157729878e-06
current,88,0.4425,5.1411502455649e-06,5.491856995462654e-06,4.790443495667146e-06
current,89,0.4475,3.4818739070491626e-06,3.7248561773361423e-06,3.2388916367621833e-06
current,90,0.4525,5.283650553960856e-06,5.477298263637938e-06,5.090002844283774e-06
current,91,0.4575,3.3399583881514178e-06,3.589156335692678e-06,3.090760440610158e-06
current,92,0.4625,4.331916204148899e-06,4.603819121484776e-06,4.060013286813022e-06
